ENODEB;SAIS_TYP;INTENSITE;2016S46;2016S47;2016S48;2016S49;2016S50;2016S51;2016S52;2017S01;2017S02;2017S03;2017S04;2017S05;2017S06;2017S07;2017S08;2017S09;2017S10;2017S11;2017S12;2017S13;2017S14;2017S15;2017S16;2017S17;2017S18;2017S19;2017S20;2017S21;2017S22;2017S23;2017S24;2017S25;2017S26;2017S27;2017S28;2017S29;2017S30;2017S31;2017S32;2017S33;2017S34;2017S35;2017S36;2017S37;2017S38;2017S39;2017S40;2017S41;2017S42;2017S43;2017S44;2017S45;2017S46;2017S47;2017S48;2017S49;2017S50;2017S51;2017S52;2018S01;2018S02;2018S03;2018S04;2018S05;2018S06;2018S07;2018S08;2018S09;2018S10;2018S11;2018S12;2018S13;2018S14;2018S15;2018S16;2018S17;2018S18;2018S19;2018S20;2018S21;2018S22;2018S23;2018S24;2018S25;2018S26;2018S27;2018S28;2018S29;2018S30;2018S31;2018S32;2018S33;2018S34;2018S35;2018S36;2018S37;2018S38;2018S39;2018S40;2018S41;2018S42;2018S43;2018S44;2018S45;2018S46;2018S47;2018S48;2018S49;2018S50;2018S51;2018S52;2019S01;2019S02;2019S03;2019S04;2019S05;2019S06;2019S07;2019S08
00000008H1;;;0.6404114;1.3219799;0.4553229;1.1206994;1.3938811;2.7463483;3.8243535;1.2647693;1.061494;1.8241756;2.0404872;2.5599252;3.0682455;4.2131942;3.8792637;2.6099067;1.8308001;1.8742909;1.03395;1.2982267;1.34783;2.2617055;1.0865807;0.9872858;1.1600694;1.1664018;1.4925271;1.3980966;1.3763395;0.9525012;1.3881894;1.4445768;2.2372618;1.2444252;1.8243574;2.1843876;2.5258048;2.5910083;2.7722209;2.2889224;2.1247514;1.5241549;1.4294484;1.2154194;2.934935;2.8987302;0.9375122;0.9648768;1.0816596;1.2002171;1.7146939;1.1165304;1.4520284;3.4210166;4.0050184;4.0043054;4.3999977;5.9859727;7.8242642;7.2952507;5.2343265;5.7327073;6.4473638;6.5803907;7.087146;8.840695;10.0253955;10.4266711;10.0129293;6.5875451;6.9187779;7.2172216;4.6436385;5.2416755;4.1113295;4.6302213;4.9925071;3.7038336;3.8687316;3.5933686;3.5895388;3.3410609;3.5234783;3.6133686;4.7751473;4.8157169;5.890558;5.47426;6.2373353;6.5635996;7.929929;6.8704128;6.5549499;4.8230536;4.6744573;3.8377861;4.2060329;4.4296919;4.8834035;4.2748244;4.1387177;4.8873764;5.2263201;5.5437778;5.2304015;5.313854;4.3569841;4.3248602;4.8512095;7.5732155;8.9143301;8.3463409;6.9369958;7.5167524;7.4157399;8.0165519;8.8915635;9.7424471;8.3911055
00000008H7;;;;;;;;;;;;;;;;;;;1.593395;1.801259;1.800582;1.726335;1.827507;2.347187;1.917;3.987915;4.25113;4.194403;4.218676;4.041243;4.422324;3.904136;4.360864;4.07803;4.720806;4.722313;4.631796;4.801225;4.917337;5.481818;6.534714;5.53339;5.527583;6.186057;5.537895;5.816081;5.811202;6.278366;5.940098;5.822218;5.781788;6.236524;5.789153;6.128398;6.94153;6.345725;6.307464;6.60901;7.305036;6.270834;7.129835;6.763347;6.276206;6.572757;6.177042;6.290004;6.508604;7.58539;7.186975;7.379732;6.748154;7.765518;7.394561;6.867356;7.514712;7.497395;7.618314;7.013835;8.209706;7.437253;7.267939;7.433038;7.081218;6.854923;7.142907;7.691448;8.631988;9.175875;8.877081;8.915066;8.844729;7.932911;8.391689;8.31702;7.49247;10.530613;8.045318;8.496922;8.077651;8.238886;7.815806;9.460085;8.545446;7.923409;8.256951;8.689092;8.119408;9.372926;8.120688;8.412471;9.163782;9.213547;9.279217;9.199833;7.886836;9.098882;8.37699;8.805325;9.26496;9.397948;8.490858
00000008V1;;;1.061752;1.133794;1.215828;1.061069;1.052005;1.198208;1.156711;1.082749;1.192147;1.133611;1.220383;1.294412;1.291377;1.154126;1.225211;1.435956;1.353628;1.167311;1.289231;1.24881;1.234682;1.441122;1.46374;1.422055;1.274888;1.213082;1.450831;1.23679;1.338335;1.394568;1.342155;1.318135;1.318988;1.379554;1.442904;1.365136;1.965329;1.370842;1.356222;1.342982;1.390713;1.527019;1.26127;1.447184;1.396829;1.529134;1.464297;1.543535;1.458677;2.153708;1.610221;1.399202;1.70539;1.470675;1.428589;1.463557;1.544023;1.646906;1.386035;1.485715;1.318732;1.436132;1.378266;1.447132;1.869108;1.35639;1.471766;1.293446;1.461874;1.252785;1.364304;1.43146;1.304522;1.403144;1.266843;1.34617;1.36852;1.311842;1.261258;1.343533;1.419405;1.374724;1.361062;1.319713;1.200406;1.276406;1.350106;1.239084;1.375857;1.320647;1.365343;1.256772;1.165319;1.240526;1.384082;1.172683;1.244984;3.03083;4.390758;3.579965;3.393977;3.987328;3.718522;3.863447;3.917346;3.452257;3.605398;4.490946;3.2822;2.716424;3.557068;3.733421;3.835919;3.635831;3.682718;4.252187;4.487908;4.496716;4.976437
00000009H7;;;1.911533;1.769746;1.836775;1.803478;1.703526;2.12672;1.80877;2.038919;1.861038;2.117793;1.864551;1.982653;2.016676;2.330511;2.128874;1.989588;2.147231;2.18546;2.178726;2.21179;2.267066;2.379775;2.26197;2.637957;2.574895;2.497443;2.694726;2.427105;2.342626;2.55224;2.228065;2.373757;2.590028;2.411452;2.371063;2.628645;2.701663;2.538231;2.578516;2.394855;2.345549;2.603915;2.453903;2.497732;2.170231;2.730542;2.812749;2.366862;2.706085;2.672965;2.395972;2.590629;2.429004;2.516106;3.008929;2.486211;2.461623;2.437151;2.338289;2.483325;2.612888;2.619868;2.680097;2.632582;3.488621;2.594678;2.705451;3.024241;2.732173;2.551558;2.917601;3.302567;2.719395;2.342722;2.249564;2.675801;2.697036;2.526346;2.947675;2.568706;2.832618;2.4994;3.103676;2.544707;2.898984;2.724631;2.788485;2.451175;4.004373;3.746433;4.628313;4.91821;4.540513;3.938703;4.704182;4.456856;4.135848;4.914072;4.017867;4.575296;4.428941;5.517575;3.972748;3.860962;4.910603;4.564847;4.164448;4.955061;4.92354;4.788513;6.333136;4.565884;5.469958;6.226103;5.812425;4.871434;5.189504;6.580288;4.930584
00000009J4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.628168;2.709223;2.783277;1.892091;2.461429;3.126089;2.729907;3.077505;2.992019;3.584906;3.565957;2.349173;2.263517;3.349323;3.379059;3.033161;2.743465;3.129633;2.792324;2.922127;2.347607;2.684139;2.510329;3.225986;2.337527;2.552586;;1.876148;3.686188;3.214927;3.207221;4.06645;3.989362;2.89457;3.509926;3.600036;3.946606;3.167605;3.939243;3.335036;4.269237;3.46836;3.488565;4.213964;4.072848;3.898498;3.840303;3.536933;4.370856;4.35564;5.121972;5.001634;3.837848;3.891798;3.978636
00000009V1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.4955607;2.42033766;3.06089728;7.24424166;6.69454362;5.84854451;3.7968215;2.82823091;3.1180311;3.53148032;2.74359219;2.18187827;4.7306944;1.56218112;2.50311552;1.47185357;1.8299287;2.28488704;1.66091981;2.13065677;1.3527575;2.1295529;1.13051981;0.98075213;1.11841306;2.2302825;1.54673126;2.27987226;1.23620275;2.55594214;2.02590438;1.85463808
00000010H1;;;;;;;;;;;;;;;1.097986;1.581595;1.4263086;1.3500776;1.0801655;0.9064244;0.8021886;0.8362495;0.7936831;1.5725978;0.7804642;0.9579733;0.972895;0.6997594;0.7653414;0.9296704;1.0001253;0.8326624;0.9763354;1.0386738;1.1229409;1.2364072;1.3896001;1.5373155;1.6959818;1.5286143;1.56572;1.4790637;1.4908882;1.3859565;0.9571103;0.87818;0.9798399;1.1301592;0.9340381;1.0369238;0.7341576;0.6136353;1.1095408;0.6660856;0.7086154;0.6174839;0.7798291;1.017832;1.2573617;0.8987624;1.120136;0.9591191;1.1901592;1.1997598;1.0194835;1.0077744;1.0426771;1.5019934;1.4870698;1.6372865;1.5310283;1.5951576;1.2174229;1.448198;1.7248796;1.8844748;1.547601;1.7825246;1.4772925;1.7040865;2.5694054;1.261622;1.8524353;2.6369101;2.9280001;3.3325839;3.5319976;3.7208476;3.4870632;3.3061474;4.6891209;3.0912531;4.9979234;3.9659054;4.1268481;5.5610786;2.9473686;2.5482579;2.5325731;2.6478044;2.4991488;2.6007638;2.3515886;2.8415176;2.6782574;2.3589898;2.6673224;2.4887151;2.6707536;3.1334389;3.141215;3.5151453;5.1908897;5.5451775;3.2060347;2.9308805;2.9426446;3.3807905;3.9756475;5.0113387;5.1636632
00000010J4;;;;;;;;;;;0.6141619;0.8707937;0.800098;1.0593282;1.1769672;1.4579181;1.1066015;0.848336;0.6823741;0.6685252;0.6183631;0.8912188;0.963554;1.0057363;1.2047805;1.2561777;1.0498109;1.0940491;1.1548329;1.8010573;;;1.4616373;1.9539685;2.0735606;2.268162;2.154445;2.098027;2.0366218;1.9960037;2.1059321;2.1790875;2.1363755;2.1403242;1.7110893;1.7158439;1.5759604;1.4458278;1.7871072;2.065053;1.4693552;2.0882971;1.6996601;0.8677482;;1.0123414;1.7320318;1.1886147;1.5642781;1.0271507;1.3228884;;;1.2079852;1.2283313;1.2789574;1.2402212;1.6187749;1.6706394;1.6824071;1.0766152;1.2592932;1.3189886;1.1374408;1.2420149;1.2810336;1.6446921;1.9150249;1.8589508;2.0566275;2.0738488;1.8039083;2.069782;1.7805329;2.1785069;1.6829208;3.5311631;3.9383733;4.0472595;4.1152577;4.5886589;4.3623089;4.0612145;4.1199862;3.9354807;5.3004496;2.4987298;2.3673605;1.8315136;2.3868271;3.2641256;2.7761725;1.702464;2.507732;1.8231938;2.3335173;1.815859;1.8675072;1.7344666;2.075087;1.780294;1.8821366;3.4428517;2.5997863;2.0748904;2.5763226;2.4540221;2.4912005;2.3509398;3.5692204;4.2610649
00000010V1;;;1.093559;1.288861;1.287687;1.718633;1.679053;1.737058;1.65095;1.86074;1.60728;1.819003;1.768556;1.798674;1.615666;1.69492;1.88593;1.892467;2.712541;2.484023;2.436903;3.136361;4.091871;4.267308;4.536617;4.114508;4.188716;4.286719;4.238151;4.953303;4.542932;4.59955;5.037753;5.289946;5.128543;5.341043;5.455497;5.607522;5.578875;5.405542;5.395639;5.754764;5.788965;5.374417;5.555975;5.579923;5.800262;5.261877;4.858725;4.066591;4.149764;4.489228;4.150663;3.009429;2.577303;2.860157;2.621508;2.705975;2.588128;2.599666;3.220712;3.888412;3.209118;2.828662;2.971056;3.333995;3.388898;3.759437;3.182752;3.389582;3.509045;3.544579;3.667543;3.980517;4.139883;4.734066;4.661797;4.899792;5.640457;5.879238;5.161874;5.31885;5.591217;5.477856;6.628879;6.830684;6.434602;7.027021;7.678175;7.52053;7.185158;7.158037;7.304704;7.158557;7.076336;10.129503;8.193124;8.798109;7.707504;6.651955;6.535705;6.368471;5.582096;6.35843;5.951899;4.169606;4.629226;4.042452;3.94238;4.205622;3.993236;4.736942;4.36448;4.688318;4.313784;4.349863;4.490121;4.336917;3.848086;4.114098;4.323851
00000011H7;;;2.712117;2.964968;2.604447;2.592986;2.680889;2.625765;2.707601;2.636683;2.644581;2.64018;2.789709;2.681003;2.769865;2.674579;2.853683;2.872604;2.988436;3.146736;2.905592;3.046397;3.06528;3.157765;2.80842;2.99437;3.064825;3.062855;2.993154;2.957218;2.896721;3.348628;2.933296;2.836233;3.192017;3.048616;3.523473;2.925007;3.089828;3.061707;3.069956;3.288936;3.222347;3.16148;3.377415;3.482311;3.384029;3.053208;3.029277;3.140019;3.487549;3.024916;2.899155;3.119521;3.021624;3.21184;3.003058;3.113221;3.58188;3.131151;2.921516;3.15993;3.307562;3.094613;3.40872;3.109004;3.05645;2.747374;2.882747;3.219464;3.448657;3.414749;3.721052;3.159314;3.257265;3.364799;2.930847;3.106268;3.176669;3.027441;3.165773;3.279688;3.101604;3.077968;3.097193;2.937143;2.950124;4.37145;4.850974;4.744439;4.648122;4.541663;5.581091;4.96789;4.833058;5.217654;4.888223;6.16853;5.39891;4.790626;5.701816;5.738225;5.265507;5.121098;5.242024;5.702307;5.794548;5.032741;5.218085;6.064672;5.006388;4.799376;5.636057;5.375627;6.274825;5.764977;5.889371;6.372277;5.877401;5.589424;4.790668
